danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title,Hot
0.732,0.722,6,-7.456,0,0.0792,0.235,0.0,0.247,0.703,143.922,audio_features,7HMCO44vSbh92CwSzOcUxX,spotify:track:7HMCO44vSbh92CwSzOcUxX,https://api.spotify.com/v1/tracks/7HMCO44vSbh92CwSzOcUxX,https://api.spotify.com/v1/audio-analysis/7HMCO44vSbh92CwSzOcUxX,146667,4,Rap,CHUPACABRA,,,N
0.659,0.7979999999999999,1,-5.648,1,0.114,0.322,0.0,0.121,0.331,149.976,audio_features,5BUy8dAXzY7HkyyLn9Zz0i,spotify:track:5BUy8dAXzY7HkyyLn9Zz0i,https://api.spotify.com/v1/tracks/5BUy8dAXzY7HkyyLn9Zz0i,https://api.spotify.com/v1/audio-analysis/5BUy8dAXzY7HkyyLn9Zz0i,208000,4,Underground Rap,Martial Law,,,N
0.757,0.488,5,-9.11,0,0.289,0.0536,0.000893,0.11,0.642,149.993,audio_features,40HOlQL1Q7TehwjXZl3GLB,spotify:track:40HOlQL1Q7TehwjXZl3GLB,https://api.spotify.com/v1/tracks/40HOlQL1Q7TehwjXZl3GLB,https://api.spotify.com/v1/audio-analysis/40HOlQL1Q7TehwjXZl3GLB,180715,4,Rap,No Slime,,,N
0.648,0.451,4,-7.157,0,0.0501,0.0994,1.62e-06,0.22,0.0377,120.0,audio_features,1ZraUBR2YOvMckFcjcxWDY,spotify:track:1ZraUBR2YOvMckFcjcxWDY,https://api.spotify.com/v1/tracks/1ZraUBR2YOvMckFcjcxWDY,https://api.spotify.com/v1/audio-analysis/1ZraUBR2YOvMckFcjcxWDY,195233,4,Trap Metal,Fake Pontchartrain,,,N
0.8029999999999999,0.63,4,-10.5,1,0.0966,0.0211,0.897,0.0888,0.476,129.011,audio_features,6mFd2NwKbeU7t9Wnjx2V14,spotify:track:6mFd2NwKbeU7t9Wnjx2V14,https://api.spotify.com/v1/tracks/6mFd2NwKbeU7t9Wnjx2V14,https://api.spotify.com/v1/audio-analysis/6mFd2NwKbeU7t9Wnjx2V14,448000,4,techhouse,,2460.0,Tech House 2020,N
0.634,0.7090000000000001,9,-11.118,1,0.0476,0.000385,0.85,0.11,0.118,133.015,audio_features,3s43c3o7ABTvkCkH65GjHR,spotify:track:3s43c3o7ABTvkCkH65GjHR,https://api.spotify.com/v1/tracks/3s43c3o7ABTvkCkH65GjHR,https://api.spotify.com/v1/audio-analysis/3s43c3o7ABTvkCkH65GjHR,305076,4,techno,,3229.0,techno. only. (08/02),N
0.605,0.605,8,-11.922,0,0.0347,0.0461,0.928,0.098,0.422,129.967,audio_features,6DHNyqH5YNkBVCZg8CCnbA,spotify:track:6DHNyqH5YNkBVCZg8CCnbA,https://api.spotify.com/v1/tracks/6DHNyqH5YNkBVCZg8CCnbA,https://api.spotify.com/v1/audio-analysis/6DHNyqH5YNkBVCZg8CCnbA,258462,4,Dark Trap,Too Soon?,,,N
0.7959999999999999,0.731,8,-6.501,1,0.285,0.0101,0.0,0.122,0.645,72.98,audio_features,3PPMgxFxHslb4Zq5TxPTY8,spotify:track:3PPMgxFxHslb4Zq5TxPTY8,https://api.spotify.com/v1/tracks/3PPMgxFxHslb4Zq5TxPTY8,https://api.spotify.com/v1/audio-analysis/3PPMgxFxHslb4Zq5TxPTY8,143529,4,Rap,Green Light,,,N
0.542,0.988,5,-5.973,1,0.08,0.0246,0.361,0.286,0.286,150.03799999999995,audio_features,325ddc86HotYSGuwDrwIan,spotify:track:325ddc86HotYSGuwDrwIan,https://api.spotify.com/v1/tracks/325ddc86HotYSGuwDrwIan,https://api.spotify.com/v1/audio-analysis/325ddc86HotYSGuwDrwIan,326871,4,hardstyle,,19071.0,Euphoric Hardstyle,N
0.422,0.967,11,-3.2060000000000004,1,0.153,8.96e-05,0.0352,0.698,0.214,139.999,audio_features,3iPdz9884VpnaKRm5XW4Lk,spotify:track:3iPdz9884VpnaKRm5XW4Lk,https://api.spotify.com/v1/tracks/3iPdz9884VpnaKRm5XW4Lk,https://api.spotify.com/v1/audio-analysis/3iPdz9884VpnaKRm5XW4Lk,156553,4,Trap Metal,Ritual,,,N
0.884,0.903,6,-3.672,0,0.2,0.2739999999999999,0.000372,0.302,0.8390000000000001,150.04399999999998,audio_features,3ljehcUqmUI7BHXpQZnwbh,spotify:track:3ljehcUqmUI7BHXpQZnwbh,https://api.spotify.com/v1/tracks/3ljehcUqmUI7BHXpQZnwbh,https://api.spotify.com/v1/audio-analysis/3ljehcUqmUI7BHXpQZnwbh,153652,4,Underground Rap,All Dogs Go To Heaven,,,N
0.5529999999999999,0.967,11,-3.964,1,0.197,0.00483,0.0677,0.418,0.155,131.975,audio_features,06hD86kjAdNTbaIKIuI328,spotify:track:06hD86kjAdNTbaIKIuI328,https://api.spotify.com/v1/tracks/06hD86kjAdNTbaIKIuI328,https://api.spotify.com/v1/audio-analysis/06hD86kjAdNTbaIKIuI328,173500,4,trance,,6864.0,ASOT,N
0.596,0.912,10,-6.132999999999999,0,0.232,2.15e-05,0.00792,0.326,0.354,131.99200000000002,audio_features,0zFoxNnuA9oLC6UgBLSZKG,spotify:track:0zFoxNnuA9oLC6UgBLSZKG,https://api.spotify.com/v1/tracks/0zFoxNnuA9oLC6UgBLSZKG,https://api.spotify.com/v1/audio-analysis/0zFoxNnuA9oLC6UgBLSZKG,116364,4,trance,,8800.0,Progressive Trance,N
0.5720000000000001,0.613,6,-9.866,1,0.0567,0.0635,0.000239,0.204,0.5,219.95,audio_features,1DZJ2pdhbUDTUVG2IcAXNB,spotify:track:1DZJ2pdhbUDTUVG2IcAXNB,https://api.spotify.com/v1/tracks/1DZJ2pdhbUDTUVG2IcAXNB,https://api.spotify.com/v1/audio-analysis/1DZJ2pdhbUDTUVG2IcAXNB,143583,4,Dark Trap,We up (feat. Bones),,,N
0.708,0.995,5,-1.66,0,0.237,0.00248,0.000445,0.471,0.357,150.079,audio_features,73VoNWaUd7si3wWUMMZ8oz,spotify:track:73VoNWaUd7si3wWUMMZ8oz,https://api.spotify.com/v1/tracks/73VoNWaUd7si3wWUMMZ8oz,https://api.spotify.com/v1/audio-analysis/73VoNWaUd7si3wWUMMZ8oz,198400,4,trap,,12311.0,Heavy Dubstep,N
0.772,0.94,7,-5.227,0,0.0692,0.00977,0.000473,0.366,0.545,124.009,audio_features,0lHBxNj4ybp4E34rrnOCkm,spotify:track:0lHBxNj4ybp4E34rrnOCkm,https://api.spotify.com/v1/tracks/0lHBxNj4ybp4E34rrnOCkm,https://api.spotify.com/v1/audio-analysis/0lHBxNj4ybp4E34rrnOCkm,220161,4,techhouse,,92.0,Tech House Top 50,N
0.833,0.7829999999999999,4,-1.077,0,0.211,0.284,0.0,0.121,0.387,129.999,audio_features,5UoQVEnznbdzspUddoQYmC,spotify:track:5UoQVEnznbdzspUddoQYmC,https://api.spotify.com/v1/tracks/5UoQVEnznbdzspUddoQYmC,https://api.spotify.com/v1/audio-analysis/5UoQVEnznbdzspUddoQYmC,222707,4,Underground Rap,Good Drank,,,N
0.6859999999999999,0.5870000000000001,0,-11.017,1,0.0872,0.0493,0.6990000000000001,0.1009999999999999,0.1119999999999999,120.01,audio_features,5GOGXozSEjBJNYiv4WVqyM,spotify:track:5GOGXozSEjBJNYiv4WVqyM,https://api.spotify.com/v1/tracks/5GOGXozSEjBJNYiv4WVqyM,https://api.spotify.com/v1/audio-analysis/5GOGXozSEjBJNYiv4WVqyM,236016,4,Dark Trap,Salvation in Love,,,N
0.622,0.812,11,-6.206,1,0.0315,0.0040799999999999,0.845,0.202,0.322,128.924,audio_features,71mw5M47PGaK2CnQx4ryNz,spotify:track:71mw5M47PGaK2CnQx4ryNz,https://api.spotify.com/v1/tracks/71mw5M47PGaK2CnQx4ryNz,https://api.spotify.com/v1/audio-analysis/71mw5M47PGaK2CnQx4ryNz,253200,4,trance,,6145.0,Anjunabeats Volumes 1 - 14,N
0.457,0.433,10,-12.743,0,0.0522,0.0747,0.0419,0.267,0.0563,180.506,audio_features,5h09OrM368tldq3KLHpYFM,spotify:track:5h09OrM368tldq3KLHpYFM,https://api.spotify.com/v1/tracks/5h09OrM368tldq3KLHpYFM,https://api.spotify.com/v1/audio-analysis/5h09OrM368tldq3KLHpYFM,128313,4,Underground Rap,40oz,,,N
0.555,0.373,5,-7.715,0,0.371,0.643,0.00535,0.15,0.318,170.66,audio_features,4cLABSn9fZX6tWcGxFTxvo,spotify:track:4cLABSn9fZX6tWcGxFTxvo,https://api.spotify.com/v1/tracks/4cLABSn9fZX6tWcGxFTxvo,https://api.spotify.com/v1/audio-analysis/4cLABSn9fZX6tWcGxFTxvo,154213,4,Underground Rap,WHAT'S THE PROBLEM,,,N
0.68,0.501,6,-7.31,0,0.486,0.024,8.58e-05,0.162,0.392,132.416,audio_features,10vS4ZLi4XWlIsNXSQXgqh,spotify:track:10vS4ZLi4XWlIsNXSQXgqh,https://api.spotify.com/v1/tracks/10vS4ZLi4XWlIsNXSQXgqh,https://api.spotify.com/v1/audio-analysis/10vS4ZLi4XWlIsNXSQXgqh,205160,4,Underground Rap,JU$T (feat. Pharrell Williams & Zack de la Rocha),,,N
0.903,0.643,10,-5.669,0,0.0929,0.1969999999999999,0.0,0.111,0.2239999999999999,220.006,audio_features,4CwA4CdTQqNv18QSAW3Srk,spotify:track:4CwA4CdTQqNv18QSAW3Srk,https://api.spotify.com/v1/tracks/4CwA4CdTQqNv18QSAW3Srk,https://api.spotify.com/v1/audio-analysis/4CwA4CdTQqNv18QSAW3Srk,106971,4,Dark Trap,Putrid Pride,,,N
